city,lat,lng,state
Munro Turuttu (Kerala),9.0,76.6167,Kerala
Karūr (Tamil Nādu),10.9601,78.0766,Tamil Nādu
Jālna (Mahārāshtra),19.841,75.8864,Mahārāshtra
Bairia (Uttar Pradesh),25.7583,84.1489,Uttar Pradesh
Bhātpāra (West Bengal),22.87,88.41,West Bengal
Sirūr (Mahārāshtra),18.83,74.38,Mahārāshtra
Kākināda (Andhra Pradesh),16.9661,82.255,Andhra Pradesh
Pānihāti (West Bengal),22.69,88.37,West Bengal
Rohtak (Haryāna),28.8909,76.5796,Haryāna
Māler Kotla (Punjab),30.5167,75.8833,Punjab
Kolga (Chhattīsgarh),22.35,82.68,Chhattīsgarh
Korba (Chhattīsgarh),22.3458,82.6963,Chhattīsgarh
Sīkar (Rājasthān),27.62,75.15,Rājasthān
Sasarām (Bihār),24.95,84.03,Bihār
Karnāl (Haryāna),29.686,76.989,Haryāna
Brahmapur (Odisha),19.315,84.7941,Odisha
Ahmadnagar (Mahārāshtra),19.08,74.73,Mahārāshtra
Shāhjānpur (Uttar Pradesh),27.88,79.91,Uttar Pradesh
Āvadi (Tamil Nādu),13.1147,80.1098,Tamil Nādu
Khānāpur (Karnātaka),15.6394,74.5083,Karnātaka
Cuddapah (Andhra Pradesh),14.47,78.82,Andhra Pradesh
Alamādi (Tamil Nādu),13.1097,80.0972,Tamil Nādu
Rājahmundry (Andhra Pradesh),16.98,81.78,Andhra Pradesh
Alwar (Rājasthān),27.5498,76.6355,Rājasthān
Sambalpur (Odisha),21.47,83.97,Odisha
Muzaffarpur (Bihār),26.1225,85.3906,Bihār
Kāmārhāti (West Bengal),22.6686,88.3704,West Bengal
Campīernagar (Uttar Pradesh),27.029,83.2668,Uttar Pradesh
Bijāpur (Karnātaka),16.83,75.71,Karnātaka
Ratnāgiri (Mahārāshtra),16.9944,73.3,Mahārāshtra
Jagdalpur (Chhattīsgarh),19.18,81.92,Chhattīsgarh
Rāmpur (Uttar Pradesh),28.8,79.0,Uttar Pradesh
Shimoga (Karnātaka),13.9333,75.5667,Karnātaka
Kāshīpur (Uttarākhand),29.22,78.95,Uttarākhand
Jūnāgadh (Gujarāt),21.5222,70.4579,Gujarāt
Hāpur (Uttar Pradesh),28.7309,77.7757,Uttar Pradesh
Pattikād (Kerala),10.5276,76.2144,Kerala
Trichūr (Kerala),10.5276,76.2144,Kerala
Barddhamān (West Bengal),23.2333,87.8667,West Bengal
Panvel (Mahārāshtra),18.9944,73.1139,Mahārāshtra
Nizāmābād (Andhra Pradesh),18.672,78.094,Andhra Pradesh
Parbhani (Mahārāshtra),19.27,76.78,Mahārāshtra
Hisar (Haryāna),29.15,75.7,Haryāna
Fatehpur (Rājasthān),27.98,74.95,Rājasthān
Birania (Madhya Pradesh),27.98,74.95,Madhya Pradesh
Kāraikkudi (Tamil Nādu),10.0735,78.7732,Tamil Nādu
Lachhmangarh Sīkar (Rājasthān),27.8225,75.0253,Rājasthān
Oulgaret (Puducherry),11.9265,79.7789,Puducherry
Ingrāj Bāzār (West Bengal),25.0119,88.1433,West Bengal
Bada Barabīl (Odisha),22.12,85.4,Odisha
Bihār (Bihār),25.197,85.518,Bihār
Darbhanga (Bihār),26.17,85.9,Bihār
