city,lat,lng,state
Shāhpura (Madhya Pradesh),23.1366,79.664,Madhya Pradesh
Kāndla Port (Gujarāt),23.03,70.22,Gujarāt
Chethakal (Kerala),9.4386,76.8322,Kerala
Mahudha (Gujarāt),22.82,72.93,Gujarāt
Kannampālaiyam (Tamil Nādu),10.9954,77.099,Tamil Nādu
Mansingha (Bihār),26.7807,84.8367,Bihār
Akambādam (Kerala),11.1,76.3167,Kerala
Kalanādu (Kerala),12.4667,75.0,Kerala
Rūpbās (Rājasthān),26.9833,77.5833,Rājasthān
Kasimkota (Andhra Pradesh),17.6736,82.9634,Andhra Pradesh
Sonāpur (Bihār),25.3561,86.2082,Bihār
Trisshilēri (Kerala),11.8333,76.0333,Kerala
Puduppatti (Tamil Nādu),11.55,78.2833,Tamil Nādu
Dūbacherla (Andhra Pradesh),16.9116,81.3569,Andhra Pradesh
Tarūr (Kerala),10.6722,76.4694,Kerala
Eravattūr (Kerala),11.5833,75.7333,Kerala
Bharanikāvu Tekku (Kerala),9.1847,76.5446,Kerala
Sāhar (Bihār),26.5408,85.859,Bihār
Pochampalli (Andhra Pradesh),17.3473,78.8195,Andhra Pradesh
Beko (Jhārkhand),24.0415,85.9536,Jhārkhand
Turkaguda (Andhra Pradesh),17.153,78.6195,Andhra Pradesh
Damdama (Jhārkhand),24.4341,87.7849,Jhārkhand
Bhit Bhagwānpur (Bihār),26.116,86.355,Bihār
Kājha (Bihār),25.7747,87.3545,Bihār
Dhemāji (Assam),27.4833,94.5833,Assam
Murud (Mahārāshtra),18.33,72.96,Mahārāshtra
Bālkonda (Andhra Pradesh),18.8726,78.3432,Andhra Pradesh
Rājāpur (Uttar Pradesh),26.2861,83.1306,Uttar Pradesh
Puttalam (Tamil Nādu),8.0981,77.464,Tamil Nādu
Cheramkod (Tamil Nādu),11.6,76.3167,Tamil Nādu
Solapuram (Tamil Nādu),9.3757,77.5598,Tamil Nādu
Jurāwanpur Karāri (Bihār),25.5273,85.4182,Bihār
Dewangarh (Bihār),24.8637,85.8584,Bihār
Narendrapatnam (Andhra Pradesh),17.0964,81.8812,Andhra Pradesh
Kolakalūru (Andhra Pradesh),16.3052,80.6182,Andhra Pradesh
Antarvedi (Andhra Pradesh),16.3333,81.7333,Andhra Pradesh
Chembagarāmanpudūr (Tamil Nādu),8.2461,77.4907,Tamil Nādu
Bilpura (Madhya Pradesh),23.2216,79.9917,Madhya Pradesh
Sundarpur (Bihār),26.3037,84.8581,Bihār
Chengala (Kerala),12.5087,75.0558,Kerala
Bhagta (Punjab),30.4882,75.1013,Punjab
Bhagwāngola (West Bengal),24.3485,88.3243,West Bengal
Baynāla (West Bengal),22.4835,88.4997,West Bengal
Muhammadābād (Andhra Pradesh),16.8731,77.8909,Andhra Pradesh
Kadaiyam (Tamil Nādu),8.832,77.357,Tamil Nādu
Belo (Bihār),25.8747,86.8855,Bihār
Kompalle (Andhra Pradesh),17.4993,78.4583,Andhra Pradesh
Ernagūdem (Andhra Pradesh),16.9989,81.5061,Andhra Pradesh
Edakkazhiyūr (Kerala),10.6167,75.9833,Kerala
Jasol (Rājasthān),25.49,72.13,Rājasthān
Chittūr (Tamil Nādu),11.55,77.7167,Tamil Nādu
Sāligrāma (Karnātaka),12.5602,76.2611,Karnātaka
Ponnamarāvati (Tamil Nādu),10.2803,78.536,Tamil Nādu
Palhālan (Jammu and Kashmīr),34.1823,74.5506,Jammu and Kashmīr
Kukkundūr (Karnātaka),13.2404,74.9541,Karnātaka
Sānātikri (West Bengal),22.023,88.5033,West Bengal
Kumaralingam (Tamil Nādu),10.4894,77.3499,Tamil Nādu
Barod (Madhya Pradesh),23.7889,75.8116,Madhya Pradesh
Palanisettipatti (Tamil Nādu),9.9998,77.4641,Tamil Nādu
Sirāli (Madhya Pradesh),22.1519,77.0617,Madhya Pradesh
Meghauna (Bihār),25.6904,86.3809,Bihār
Pipra Latīf (Bihār),25.3579,86.7174,Bihār
Patilār (Bihār),27.0361,84.2106,Bihār
Kurāwar (Madhya Pradesh),23.5118,77.0246,Madhya Pradesh
Asthānwān (Bihār),25.2215,85.6262,Bihār
Vemuladīvi (Andhra Pradesh),16.3408,81.6958,Andhra Pradesh
Maurānwān (Uttar Pradesh),26.43,80.88,Uttar Pradesh
Pichhor (Madhya Pradesh),25.9602,78.3893,Madhya Pradesh
Sarai Jattān (Punjab),31.1797,75.6745,Punjab
Udala (Odisha),21.5781,86.5668,Odisha
Turhāpatti (Bihār),26.8511,84.4522,Bihār
Phulaut (Bihār),25.5114,86.9375,Bihār
Bilgi (Karnātaka),16.3472,75.6181,Karnātaka
Mitrapur (West Bengal),24.4371,87.9666,West Bengal
Chilamattūru (Andhra Pradesh),13.8394,77.7039,Andhra Pradesh
Bīmgal (Andhra Pradesh),18.7,78.4667,Andhra Pradesh
Kambadūru (Andhra Pradesh),14.3464,77.2297,Andhra Pradesh
Arumbāvūr (Tamil Nādu),11.381,78.7296,Tamil Nādu
Dilārpur (Bihār),25.3968,87.5969,Bihār
Nedumudi (Kerala),9.4429,76.404,Kerala
Odanāvattam (Kerala),8.9355,76.7713,Kerala
Vipparla (Andhra Pradesh),16.3023,79.9373,Andhra Pradesh
Buggānipalle (Andhra Pradesh),15.4741,78.175,Andhra Pradesh
Chokkanāthapuram (Tamil Nādu),9.9921,77.3566,Tamil Nādu
Siladon (Jhārkhand),23.1527,85.3657,Jhārkhand
Sodāg (Jhārkhand),23.1436,85.3874,Jhārkhand
Lāl Khatangā (Jhārkhand),23.2627,85.3376,Jhārkhand
Khijri (Jhārkhand),22.8001,84.9474,Jhārkhand
Samsikāpuram (Tamil Nādu),9.4156,77.5917,Tamil Nādu
Raspur Patasia (Bihār),25.544,85.7247,Bihār
Gopālnagar (West Bengal),24.691,87.9299,West Bengal
Kot Bhāi (Punjab),30.2678,74.699,Punjab
Talaināyar Agrahāram (Tamil Nādu),10.5614,79.7723,Tamil Nādu
Kumaramputtūr (Kerala),10.9667,76.4333,Kerala
Semra (Bihār),26.6523,85.0872,Bihār
Chhājli (Punjab),30.0348,75.828,Punjab
Isrāin Kalān (Bihār),25.9844,87.0372,Bihār
Basārh (Bihār),25.9808,85.1285,Bihār
Maddikera (Andhra Pradesh),15.2496,77.4159,Andhra Pradesh
Amānganj (Madhya Pradesh),24.4266,80.0358,Madhya Pradesh
Undi (Andhra Pradesh),16.6,81.4667,Andhra Pradesh
Pihra (Jhārkhand),24.6424,85.8043,Jhārkhand
Bankheri (Madhya Pradesh),22.7696,78.5341,Madhya Pradesh
Bhānumukkala (Andhra Pradesh),15.3119,78.2277,Andhra Pradesh
Dudhgaon (Mahārāshtra),18.2787,76.0536,Mahārāshtra
Elandakuttai (Tamil Nādu),11.3992,77.7782,Tamil Nādu
Belāri (Bihār),25.9655,86.9161,Bihār
Tēkkampatti (Tamil Nādu),11.2559,76.8872,Tamil Nādu
Mātar (Gujarāt),22.75,72.68,Gujarāt
Shedbal (Mahārāshtra),16.6892,74.7543,Mahārāshtra
Kālikāpur (Bihār),26.4956,86.089,Bihār
Peddaboddepalle (Andhra Pradesh),17.6606,82.6296,Andhra Pradesh
Sāhpur (Bihār),25.7035,85.1483,Bihār
Udayendram (Tamil Nādu),12.6962,78.6227,Tamil Nādu
Beldānga (Jhārkhand),24.7041,87.873,Jhārkhand
Mangawān (Madhya Pradesh),24.6675,81.5464,Madhya Pradesh
Rātan (Bihār),25.4349,86.6432,Bihār
Marui (Bihār),24.8639,85.6338,Bihār
Pimpalgaon Rājā (Mahārāshtra),20.7167,76.4333,Mahārāshtra
Mulakaledu (Andhra Pradesh),14.3648,76.9267,Andhra Pradesh
Billapādu (Andhra Pradesh),16.6364,80.9661,Andhra Pradesh
Musāpur (Bihār),25.6417,87.4154,Bihār
Aravakkurichchi (Tamil Nādu),10.776,77.9076,Tamil Nādu
Pyāpali (Andhra Pradesh),15.2669,77.7611,Andhra Pradesh
Jangīd (Andhra Pradesh),18.4475,79.8414,Andhra Pradesh
Tondangi (Andhra Pradesh),17.25,82.4667,Andhra Pradesh
Hebli (Karnātaka),15.4858,75.1283,Karnātaka
Petlāwad (Madhya Pradesh),23.0108,74.7961,Madhya Pradesh
Seven Pagodas (Tamil Nādu),12.6197,80.1944,Tamil Nādu
Salua (West Bengal),22.61,88.27,West Bengal
Cumbum (Andhra Pradesh),15.5667,79.1167,Andhra Pradesh
Puliyūr (Tamil Nādu),10.9499,78.1453,Tamil Nādu
Hathīaundha (Bihār),25.7223,86.9972,Bihār
Lakhaura (Bihār),26.7522,84.9647,Bihār
Gurramkonda (Andhra Pradesh),13.7822,78.59,Andhra Pradesh
Chittarikal (Kerala),12.3234,75.3583,Kerala
Mallāpuram (Tamil Nādu),11.9823,78.248,Tamil Nādu
Telua (Bihār),26.6396,84.5108,Bihār
Gangāpur (Bihār),25.5136,86.8957,Bihār
Warni (Andhra Pradesh),18.5436,77.9072,Andhra Pradesh
Srīvardhan (Mahārāshtra),18.0333,73.0167,Mahārāshtra
Koduman (Kerala),9.1917,76.8,Kerala
Bhoj (Karnātaka),16.5333,74.45,Karnātaka
Itki Thākurgaon (Jhārkhand),23.3456,85.1114,Jhārkhand
Khaira (Bihār),26.3433,87.1476,Bihār
Chautham (Bihār),25.5439,86.6567,Bihār
Bilaua (Madhya Pradesh),26.0501,78.2752,Madhya Pradesh
Babhani Bholwa (Bihār),26.0876,86.7456,Bihār
Bhatranha (Bihār),25.9846,86.6348,Bihār
Changamkari (Kerala),9.6333,76.8667,Kerala
Putaparti (Andhra Pradesh),14.166,77.811,Andhra Pradesh
Tabhka Khās (Bihār),25.6518,85.9426,Bihār
Hasanpur (Bihār),26.1147,87.2319,Bihār
Jadia (Bihār),26.0937,86.9852,Bihār
Bina (Bihār),26.0792,86.6326,Bihār
Kohīr (Andhra Pradesh),17.6,77.7167,Andhra Pradesh
Hasanganj (Uttar Pradesh),26.78,80.67,Uttar Pradesh
Peddapalle (Andhra Pradesh),14.4046,78.9456,Andhra Pradesh
Devendranagar (Madhya Pradesh),24.6169,80.3789,Madhya Pradesh
Rajni (Bihār),25.8132,86.9772,Bihār
Ekma (Bihār),25.967,84.5383,Bihār
Revūr (Andhra Pradesh),16.8216,79.9926,Andhra Pradesh
Ochanthururtha (Kerala),10.0,76.2333,Kerala
Satyāmangala (Karnātaka),13.0193,76.1243,Karnātaka
Udiyāvara (Karnātaka),13.3097,74.7366,Karnātaka
Kēralasshēri (Kerala),10.825,76.5,Kerala
Kutavettūr (Kerala),8.9167,76.75,Kerala
Aruvikkara (Tamil Nādu),8.3331,77.2788,Tamil Nādu
Kaintragarh (Odisha),20.7211,84.5351,Odisha
Konārka (Odisha),19.8908,86.1003,Odisha
Shamsa (Bihār),25.623,85.931,Bihār
Naduvattam (Tamil Nādu),11.4808,76.5437,Tamil Nādu
Saidpur (Bihār),25.5436,86.564,Bihār
Barajor (Bihār),24.7992,86.3731,Bihār
Pavannur (Kerala),11.95,75.5,Kerala
Tillor Khurd (Madhya Pradesh),22.617,75.948,Madhya Pradesh
Chettikulam (Tamil Nādu),8.0943,77.5614,Tamil Nādu
Muttamtura (Tamil Nādu),8.13,77.32,Tamil Nādu
Mundia (Rājasthān),27.4014,75.6892,Rājasthān
Damalcheruvu (Andhra Pradesh),13.4833,79.05,Andhra Pradesh
Miri (Mahārāshtra),19.28,74.84,Mahārāshtra
Cortalim (Goa),15.3978,73.9106,Goa
Majhgawān (Madhya Pradesh),24.8,80.8,Madhya Pradesh
Hombal (Karnātaka),15.5164,75.5556,Karnātaka
Bellatti (Tamil Nādu),12.65,78.0,Tamil Nādu
Singhānwāla (Punjab),30.7699,75.1218,Punjab
Hullahalli (Karnātaka),12.1,76.55,Karnātaka
Sathamba (Gujarāt),23.1691,73.3266,Gujarāt
Valattūr (Tamil Nādu),12.8899,78.8394,Tamil Nādu
Turori (Mahārāshtra),17.8278,76.6903,Mahārāshtra
Shafinagar (Uttar Pradesh),28.4117,78.1365,Uttar Pradesh
Khāndhār (Rājasthān),26.0233,76.6097,Rājasthān
Galatge (Karnātaka),16.42,74.58,Karnātaka
Vasa (Gujarāt),22.6608,72.7552,Gujarāt
Kaguchi (Tamil Nādu),11.4519,76.8061,Tamil Nādu
Yelur (Karnātaka),15.7817,74.5178,Karnātaka
Māndleshwar (Madhya Pradesh),22.176,75.6599,Madhya Pradesh
Āndipālaiyam (Tamil Nādu),11.092,77.315,Tamil Nādu
Kurichchi (Tamil Nādu),11.5701,77.6969,Tamil Nādu
Goluwāli (Rājasthān),29.63,74.06,Rājasthān
Vallūr (Tamil Nādu),13.256,80.2818,Tamil Nādu
Majholi (Madhya Pradesh),23.5011,79.924,Madhya Pradesh
Ganjām (Unknown),19.387,85.0508,
Chāndi (Bihār),25.7296,87.5195,Bihār
Chemmanam (Kerala),9.8072,76.2774,Kerala
Yellāreddi (Andhra Pradesh),18.1859,78.0212,Andhra Pradesh
Lānjī (Madhya Pradesh),21.5018,80.5406,Madhya Pradesh
Sembedu (Tamil Nādu),13.1298,79.5634,Tamil Nādu
Lakkundi (Karnātaka),15.3897,75.7183,Karnātaka
Pursa (Bihār),26.3019,86.4778,Bihār
Kunnumēl (Kerala),9.35,76.4,Kerala
Badarpur (Assam),24.8685,92.5961,Assam
Kela Khera (Uttarākhand),29.09,79.19,Uttarākhand
Ammūr (Tamil Nādu),12.975,79.3628,Tamil Nādu
Sindhnūr (Karnātaka),15.77,76.7556,Karnātaka
Aiyampuzha (Kerala),10.25,76.4667,Kerala
Valangimān (Tamil Nādu),10.8897,79.394,Tamil Nādu
Jhandāpur (Bihār),25.3995,86.9479,Bihār
Parapatti (Tamil Nādu),12.1083,78.0198,Tamil Nādu
Champāpur (Bihār),26.8881,84.834,Bihār
Ālampur (Andhra Pradesh),15.8793,78.1334,Andhra Pradesh
Hanamsāgar (Karnātaka),15.8722,76.0431,Karnātaka
Vellālāpuram (Tamil Nādu),11.6525,77.938,Tamil Nādu
Barharwā (Jhārkhand),24.8571,87.779,Jhārkhand
Chāilāha (Bihār),26.6738,84.8801,Bihār
Nagarūr (Kerala),8.7333,76.85,Kerala
Chīpurupalle (Andhra Pradesh),18.3,83.5667,Andhra Pradesh
Madhuban (Bihār),26.4386,85.1357,Bihār
Avalpūndurai (Tamil Nādu),11.231,77.7182,Tamil Nādu
Hariharpāra (West Bengal),24.0468,88.4244,West Bengal
Kumāramangalam (Tamil Nādu),11.3676,77.93,Tamil Nādu
Tendūkheda (Madhya Pradesh),23.3962,79.5395,Madhya Pradesh
Cherrapunji (Meghālaya),25.284,91.721,Meghālaya
Kumārīpur (Bihār),25.4425,87.6217,Bihār
Nenmini (Kerala),11.0528,76.2083,Kerala
Benipati (Bihār),26.4442,85.9083,Bihār
Devarapalle (Andhra Pradesh),17.03,81.37,Andhra Pradesh
Pālod (Kerala),8.7033,77.0264,Kerala
Sanquelim (Goa),15.5027,73.7669,Goa
Kamrāwān (Bihār),25.6956,85.838,Bihār
Curtorim (Goa),15.28,74.03,Goa
Hasanpur Juned (Bihār),25.5915,85.5238,Bihār
Cherupazhasshi (Kerala),12.0916,75.4414,Kerala
Perunkolattūr (Tamil Nādu),12.043,78.9174,Tamil Nādu
Ijra (Bihār),26.3119,86.0037,Bihār
Garhpura (Bihār),25.6638,86.1818,Bihār
Vaddāpalli (Andhra Pradesh),18.5323,77.8959,Andhra Pradesh
Andūrkonam (Kerala),8.5969,76.8664,Kerala
Bāladharmāram (Andhra Pradesh),17.4104,79.969,Andhra Pradesh
Sāhit (Bihār),25.5888,85.7948,Bihār
Chhāpia (Bihār),26.0831,84.8447,Bihār
Tirumalaiyampālaiyam (Tamil Nādu),10.879,76.9295,Tamil Nādu
Kōteshwar (Karnātaka),13.607,74.75,Karnātaka
Kodāngipatti (Tamil Nādu),9.992,77.4332,Tamil Nādu
Kurumbalūr (Tamil Nādu),11.236,78.8005,Tamil Nādu
Paramati (Tamil Nādu),11.1544,78.0213,Tamil Nādu
Mānantheri (Kerala),11.8428,75.615,Kerala
Pudur (Tamil Nādu),9.0001,77.2076,Tamil Nādu
Kamalganj (Uttar Pradesh),27.27,79.65,Uttar Pradesh
Rasulpur Dhuria (Bihār),25.5693,87.0375,Bihār
Mulakād (Kerala),9.8902,76.6546,Kerala
Kaonke (Punjab),30.7659,75.4172,Punjab
Vubatalai (Tamil Nādu),11.3597,76.7649,Tamil Nādu
Tiruvāsaladi (Tamil Nādu),11.4013,79.7746,Tamil Nādu
Alangānallūr (Tamil Nādu),10.047,78.0903,Tamil Nādu
Kankipādu (Andhra Pradesh),16.45,80.7833,Andhra Pradesh
Vemulūru (Andhra Pradesh),16.9337,81.8057,Andhra Pradesh
Paliaturutu (Kerala),10.2959,76.1581,Kerala
Sinha (Bihār),25.6902,84.6291,Bihār
Holalagondi (Andhra Pradesh),15.4873,77.0464,Andhra Pradesh
Sātyūn (Rājasthān),28.5667,75.1167,Rājasthān
Kelamangalam (Tamil Nādu),12.6031,77.8519,Tamil Nādu
Dinmānpur (Bihār),25.9112,85.9288,Bihār
Thillangéri (Kerala),11.95,75.6167,Kerala
Balīgaon (Bihār),25.4196,84.4951,Bihār
Talya (Karnātaka),14.042,76.184,Karnātaka
Kānjikkovil (Tamil Nādu),11.3689,77.5962,Tamil Nādu
Jitwārpur Nizāmat (Bihār),25.8489,85.8006,Bihār
Lakkampatti (Tamil Nādu),11.4461,77.4118,Tamil Nādu
Palayad (Kerala),11.5847,75.7528,Kerala
Akora (Madhya Pradesh),26.4721,78.7989,Madhya Pradesh
Paniem (Andhra Pradesh),15.5167,78.35,Andhra Pradesh
Kottacheruvu (Andhra Pradesh),14.1886,77.7658,Andhra Pradesh
Darpa (Bihār),26.84,84.9774,Bihār
Tiruppāchūr (Tamil Nādu),13.1384,79.8764,Tamil Nādu
Relangi (Andhra Pradesh),16.705,81.647,Andhra Pradesh
Bijaipur (Madhya Pradesh),26.0556,77.3697,Madhya Pradesh
Halwāra (Punjab),30.7167,75.65,Punjab
Gundlapelle (Andhra Pradesh),16.4102,79.8813,Andhra Pradesh
Nāgireddipalli (Andhra Pradesh),14.2701,79.1013,Andhra Pradesh
Kusāha (Bihār),26.2077,86.9587,Bihār
Kizhakkummuri (Kerala),11.3333,75.8167,Kerala
Kannamanāyakkanūr (Tamil Nādu),10.5527,77.269,Tamil Nādu
Pandhāna (Madhya Pradesh),21.6982,76.2249,Madhya Pradesh
Pakaryā Harsidhi (Bihār),26.6526,84.7198,Bihār
Suwāsra (Madhya Pradesh),24.0698,75.6523,Madhya Pradesh
Nadisāl (Karnātaka),13.1326,74.7777,Karnātaka
Gavinivāripālem (Andhra Pradesh),15.8378,80.4315,Andhra Pradesh
Surajpura (Bihār),25.2576,86.2283,Bihār
Sadhoa (Bihār),25.4049,87.198,Bihār
Kandela (Uttar Pradesh),29.45,77.32,Uttar Pradesh
Lingāl (Andhra Pradesh),16.2833,78.5167,Andhra Pradesh
Chinnavādampatti (Tamil Nādu),11.0615,76.9838,Tamil Nādu
Lākho (Bihār),25.4113,86.1792,Bihār
Barhni (Uttar Pradesh),27.4972,82.7861,Uttar Pradesh
Harduli (Madhya Pradesh),22.9278,79.903,Madhya Pradesh
Babhangāwān (Bihār),25.3674,86.9501,Bihār
Nawada (Bihār),25.5431,85.924,Bihār
Pākala (Andhra Pradesh),15.2694,80.072,Andhra Pradesh
Markacho (Jhārkhand),24.3263,85.8346,Jhārkhand
Roh (Bihār),24.8905,85.675,Bihār
Khallikot (Odisha),19.6091,85.0861,Odisha
Tiruvalanjuli (Tamil Nādu),10.9449,79.3286,Tamil Nādu
Lagunia Surajkanth (Bihār),25.8304,85.7887,Bihār
Tarlapalli (Andhra Pradesh),18.8345,79.4907,Andhra Pradesh
Srīnagar (Bihār),26.783,84.3018,Bihār
Shatrāna (Punjab),29.9102,76.1202,Punjab
Mansāla (Andhra Pradesh),15.9417,77.4281,Andhra Pradesh
Narahia (Bihār),26.3681,86.5434,Bihār
Bāra (West Bengal),24.3146,87.9643,West Bengal
Sirmaur (Madhya Pradesh),24.8365,81.3645,Madhya Pradesh
Kolwāra (Bihār),25.3538,86.77,Bihār
Baqiābād (Uttar Pradesh),25.1,82.9,Uttar Pradesh
Satwās (Madhya Pradesh),22.5363,76.6845,Madhya Pradesh
Davorlim (Goa),15.2722,73.9924,Goa
Alūr (Andhra Pradesh),15.3942,77.2264,Andhra Pradesh
Dornakal (Andhra Pradesh),17.447,80.151,Andhra Pradesh
Tirkarūr (Kerala),10.0667,76.6167,Kerala
Kharki (Jhārkhand),23.9165,85.8596,Jhārkhand
Barhi (Madhya Pradesh),23.9033,80.8152,Madhya Pradesh
Vadugapatti (Tamil Nādu),11.1518,77.7375,Tamil Nādu
Chik Bānavar (Karnātaka),13.0846,77.5014,Karnātaka
Paidiipalli (Andhra Pradesh),18.0172,79.6159,Andhra Pradesh
Mutyālapalle (Andhra Pradesh),16.4019,81.5703,Andhra Pradesh
Nagra (Uttar Pradesh),25.968,83.873,Uttar Pradesh
Haldībāri (West Bengal),26.33,88.77,West Bengal
Tūprān (Andhra Pradesh),17.8452,78.4787,Andhra Pradesh
Hargāwān (Bihār),25.1428,85.5652,Bihār
Mohanpur Gaughāta (Bihār),25.3345,87.3404,Bihār
Kārempūdi (Andhra Pradesh),16.4333,79.7167,Andhra Pradesh
Vāsad (Gujarāt),22.45,73.0667,Gujarāt
Puraini (Bihār),25.5968,86.9892,Bihār
Kamatgi (Mahārāshtra),16.119,75.8482,Mahārāshtra
Tezu (Arunāchal Pradesh),27.92,96.17,Arunāchal Pradesh
Doria Sonāpur (Bihār),26.183,87.3873,Bihār
Penuganchiprolu (Andhra Pradesh),16.9033,80.2356,Andhra Pradesh
Sailāna (Madhya Pradesh),23.4622,74.9232,Madhya Pradesh
Vatlūru (Andhra Pradesh),16.6998,81.0524,Andhra Pradesh
Patiāli (Uttar Pradesh),27.7167,79.0167,Uttar Pradesh
Barela (Madhya Pradesh),23.0968,80.0508,Madhya Pradesh
Thondiamannu (Kerala),9.2639,76.8833,Kerala
Baulia (Bihār),25.399,87.6002,Bihār
Bihpuriāgaon (Assam),27.0172,93.9167,Assam
Narhan (Bihār),25.6941,86.0074,Bihār
Bhānukumāri (West Bengal),26.3395,89.7697,West Bengal
Hindalgi (Karnātaka),16.1364,74.6547,Karnātaka
Muttukūru (Andhra Pradesh),14.2667,80.1,Andhra Pradesh
Lakhsetipet (Andhra Pradesh),18.8873,79.2069,Andhra Pradesh
Pālda (Madhya Pradesh),22.68,75.8939,Madhya Pradesh
Wālājābād (Tamil Nādu),12.7904,79.8236,Tamil Nādu
Gua (Unknown),22.2136,85.3877,
Jori Kalān (Jhārkhand),24.2045,84.877,Jhārkhand
Polāia Kalān (Madhya Pradesh),23.2119,76.5529,Madhya Pradesh
Chikhli Kalān (Madhya Pradesh),22.2152,78.743,Madhya Pradesh
Kottavalasa (Andhra Pradesh),17.9,83.2,Andhra Pradesh
Kizhariyūr (Kerala),11.4833,75.6833,Kerala
Kārkūdalpatti (Tamil Nādu),11.5002,78.3521,Tamil Nādu
Vīraghattam (Andhra Pradesh),18.6833,83.6,Andhra Pradesh
Salīmpur (Bihār),25.248,86.2347,Bihār
Māngoli (Karnātaka),16.65,75.81,Karnātaka
Huliyār (Karnātaka),13.5828,76.5361,Karnātaka
Kambainellūr (Tamil Nādu),12.2071,78.3187,Tamil Nādu
Korangal (Andhra Pradesh),17.107,77.627,Andhra Pradesh
Anantarāzupeta (Andhra Pradesh),14.0014,79.3319,Andhra Pradesh
Bariariyā (Bihār),26.5105,84.7165,Bihār
Ungutūru (Andhra Pradesh),16.823,81.4238,Andhra Pradesh
Bikkavolu (Andhra Pradesh),16.95,82.05,Andhra Pradesh
Ghaura (Madhya Pradesh),24.5059,79.0781,Madhya Pradesh
Vedasandūr (Tamil Nādu),10.531,77.9502,Tamil Nādu
Manoharpur (Jhārkhand),22.3746,85.1923,Jhārkhand
Mannūr (Karnātaka),17.2994,76.0984,Karnātaka
Chikitigarh (Odisha),19.2023,84.6145,Odisha
Rāje (Bihār),26.2216,86.1454,Bihār
Kukdeshwar (Madhya Pradesh),24.4828,75.2675,Madhya Pradesh
Kōdanād (Kerala),10.18,76.51,Kerala
Padavēdu (Tamil Nādu),12.673,79.1047,Tamil Nādu
Saren (Bihār),25.1149,84.9744,Bihār
Kāshti (Mahārāshtra),18.5492,74.5822,Mahārāshtra
Pannimadai (Tamil Nādu),11.0823,76.9164,Tamil Nādu
Nagardevla Budrukh (Mahārāshtra),20.5667,75.2167,Mahārāshtra
Terkuvengānallūr (Tamil Nādu),9.4052,77.5408,Tamil Nādu
Barkuhi (Madhya Pradesh),22.1901,78.7047,Madhya Pradesh
Chebrolu (Andhra Pradesh),16.8206,81.4048,Andhra Pradesh
Siddāpur (Karnātaka),14.347,74.894,Karnātaka
Ālangudi (Tamil Nādu),10.3604,78.9779,Tamil Nādu
Pānr (Bihār),25.6884,85.798,Bihār
Begowāl (Punjab),31.6125,75.5194,Punjab
Odlābāri (West Bengal),26.8594,88.6214,West Bengal
Tamarakulam (Tamil Nādu),8.1325,77.4848,Tamil Nādu
Pānsemāl (Madhya Pradesh),21.6598,74.6994,Madhya Pradesh
Nallagunta (Andhra Pradesh),16.5763,80.6854,Andhra Pradesh
Tālbahat (Uttar Pradesh),25.042,78.433,Uttar Pradesh
Pirangut (Mahārāshtra),18.5115,73.6801,Mahārāshtra
Bhulwāl (Jammu and Kashmīr),32.8094,74.7683,Jammu and Kashmīr
Orumanayūr (Kerala),10.5583,76.0347,Kerala
Raghudebbati (West Bengal),22.53,88.2,West Bengal
Kātrāvulapalle (Andhra Pradesh),17.1277,82.0831,Andhra Pradesh
Antarvedipālem (Andhra Pradesh),16.3319,81.732,Andhra Pradesh
Jitwārpur Kumhra (Bihār),25.7852,85.7044,Bihār
Pulūr (Andhra Pradesh),18.1,78.85,Andhra Pradesh
Kutavūr (Kerala),8.7833,76.8167,Kerala
Rambha (Odisha),19.4433,84.9881,Odisha
Sur Singh (Punjab),31.3992,74.716,Punjab
Kīlattingal (Kerala),8.6891,76.7877,Kerala
Chāprā (West Bengal),23.5391,88.5467,West Bengal
Siroda (Goa),15.3292,74.0271,Goa
Phulwār (Bihār),26.8148,84.843,Bihār
Gudūr (Andhra Pradesh),17.7956,79.9747,Andhra Pradesh
Eraurā (Bihār),24.613,84.4555,Bihār
Doranahalli (Karnātaka),16.7324,76.9162,Karnātaka
Byāhatti (Karnātaka),15.4468,75.2054,Karnātaka
Bela (Bihār),25.8103,85.0157,Bihār
Rājim (Chhattīsgarh),20.965,81.8817,Chhattīsgarh
Tamār (Jhārkhand),23.0488,85.649,Jhārkhand
Ponnampatti (Tamil Nādu),10.3668,78.3955,Tamil Nādu
Sumbal (Jammu and Kashmīr),34.2307,74.6472,Jammu and Kashmīr
Vammanal (Kerala),12.0281,75.7093,Kerala
Sāsan (Bihār),25.6883,86.1907,Bihār
Karugamād (Kerala),10.4667,76.1,Kerala
Kottaiyūr (Tamil Nādu),10.1096,78.7956,Tamil Nādu
Amāri (Bihār),25.7179,86.0839,Bihār
Suknadānga (West Bengal),24.46,88.05,West Bengal
Kārai (Tamil Nādu),12.9377,79.3163,Tamil Nādu
Ūttukkottai (Andhra Pradesh),13.3354,79.898,Andhra Pradesh
Barāri (Bihār),25.5068,87.3761,Bihār
Barjora (West Bengal),23.43,87.28,West Bengal
Ilampillai (Tamil Nādu),11.6066,78.0068,Tamil Nādu
Keāl (Bihār),25.1218,84.6324,Bihār
Turuttiyad (Kerala),11.5167,75.65,Kerala
Rānāpur (Madhya Pradesh),22.647,74.5212,Madhya Pradesh
Alewah (Haryāna),29.4767,76.4522,Haryāna
Rājāsūr (Karnātaka),17.86,76.95,Karnātaka
